,county,inmate_num,non_inmate_num,month,2020
33,Sacramento,-0.0,0.0,4,0
34,San Benito,-0.0,0.0,4,0
35,San Bernardino,286.0,-0.0,4,0
36,San Diego,0.0,0.0,4,0
37,San Joaquin,-0.0,0.0,4,0
38,San Luis Obispo,0.0,0.0,4,0
39,San Mateo,-0.0,0.0,4,0
40,Santa Barbara,-0.0,0.0,4,0
41,Santa Clara,-0.0,0.0,4,0
42,Santa Cruz,0.0,0.0,4,0
43,Shasta,40.0,-0.0,4,0
44,Sierra,-0.0,0.0,4,0
45,Siskiyou,0.0,0.0,4,0
46,Solano,0.0,0.0,4,0
47,Sonoma,-0.0,0.0,4,0
48,Stanislaus,-0.0,0.0,4,0
49,Sutter,-0.0,0.0,4,0
50,Tehama,40.0,-0.0,4,0
51,Trinity,40.0,-0.0,4,0
52,Tulare,0.0,0.0,4,0
53,Tuolumne,0.0,0.0,4,0
54,Ventura,40.0,-0.0,4,0
55,Yolo,-0.0,0.0,4,0
56,Yuba,-0.0,0.0,4,0
0,Alameda,-0.0,0.0,4,1
1,Alpine,-0.0,0.0,4,1
2,Amador,0.0,0.0,4,1
3,Butte,-0.0,0.0,4,1
4,Calaveras,0.0,0.0,4,1
5,Colusa,0.0,0.0,4,1
6,Contra Costa,-0.0,40.0,4,1
7,Del Norte,0.0,0.0,4,1
8,El Dorado,0.0,0.0,4,1
9,Fresno,48.0,319.0,4,1
10,Glenn,0.0,0.0,4,1
11,Humboldt,0.0,0.0,4,1
12,Imperial,-0.0,81.0,4,1
13,Inyo,56.0,85.0,4,1
14,Kern,-0.0,245.0,4,1
15,Kings,-0.0,81.0,4,1
16,Lake,0.0,0.0,4,1
17,Lassen,0.0,0.0,4,1
18,Los Angeles,204.0,-0.0,4,1
19,Madera,-0.0,40.0,4,1
20,Marin,-0.0,0.0,4,1
21,Mariposa,0.0,0.0,4,1
22,Mendocino,0.0,0.0,4,1
23,Merced,-0.0,81.0,4,1
24,Modoc,45.0,2.0,4,1
25,Mono,0.0,0.0,4,1
26,Monterey,40.0,-0.0,4,1
27,Napa,-0.0,40.0,4,1
28,Nevada,0.0,0.0,4,1
29,Orange,-0.0,0.0,4,1
30,Placer,0.0,0.0,4,1
31,Plumas,-0.0,122.0,4,1
32,Riverside,166.0,569.0,4,1
33,Sacramento,-0.0,0.0,4,1
34,San Benito,-0.0,0.0,4,1
35,San Bernardino,124.0,162.0,4,1
36,San Diego,0.0,0.0,4,1
37,San Joaquin,-0.0,0.0,4,1
38,San Luis Obispo,0.0,0.0,4,1
39,San Mateo,-0.0,0.0,4,1
40,Santa Barbara,-0.0,0.0,4,1
41,Santa Clara,-0.0,0.0,4,1
42,Santa Cruz,0.0,0.0,4,1
43,Shasta,5.0,35.0,4,1
44,Sierra,-0.0,0.0,4,1
45,Siskiyou,0.0,0.0,4,1
46,Solano,0.0,0.0,4,1
47,Sonoma,-0.0,0.0,4,1
48,Stanislaus,-0.0,0.0,4,1
49,Sutter,-0.0,0.0,4,1
50,Tehama,40.0,-0.0,4,1
51,Trinity,40.0,-0.0,4,1
52,Tulare,0.0,0.0,4,1
53,Tuolumne,0.0,0.0,4,1
54,Ventura,7.0,33.0,4,1
55,Yolo,-0.0,0.0,4,1
56,Yuba,-0.0,0.0,4,1
0,Alameda,-0.0,204.0,5,0
1,Alpine,-0.0,0.0,5,0
2,Amador,0.0,0.0,5,0
3,Butte,-0.0,367.0,5,0
4,Calaveras,81.0,-0.0,5,0
5,Colusa,0.0,0.0,5,0
6,Contra Costa,-0.0,40.0,5,0
7,Del Norte,0.0,0.0,5,0
8,El Dorado,40.0,-0.0,5,0
9,Fresno,80.0,573.0,5,0
10,Glenn,120.0,2.0,5,0
11,Humboldt,0.0,0.0,5,0
12,Imperial,-0.0,0.0,5,0
13,Inyo,0.0,0.0,5,0
14,Kern,-0.0,817.0,5,0
15,Kings,-0.0,204.0,5,0
16,Lake,81.0,-0.0,5,0
17,Lassen,0.0,0.0,5,0
18,Los Angeles,680.0,14.0,5,0
19,Madera,-0.0,119.0,5,0
20,Marin,-0.0,0.0,5,0
21,Mariposa,100.0,8.0,5,0
22,Mendocino,0.0,0.0,5,0
23,Merced,-0.0,255.0,5,0
24,Modoc,0.0,0.0,5,0
25,Mono,0.0,0.0,5,0
26,Monterey,120.0,247.0,5,0
27,Napa,-0.0,81.0,5,0
28,Nevada,0.0,0.0,5,0
29,Orange,-0.0,0.0,5,0
